,Authors,Title,Subtitle,Publisher,Date Published,Description,ISBN-10,ISBN-13,Page Count,Print Type,Genres,Average Rating,Ratings Count,Image Link,Language,Preview Link,Sale Country,Saleability,E-Book,Summary
0,"['John Green', 'Stephen Bullen', 'Felipe Martins', 'Brian Johnson']",Excel 2000 VBA,Programmers Reference,Wrox,1999-06-12,"What is this book about? Excel 2000 is an important part of the Office 2000 program suite, and will be available in the Premium, Professional, Standard and Small Business editions of Office 2000. Excel has traditionally been the Office suite spreadsheet program par excellence. It still remains that way, but with Office 2000 there is a strong emphasis on between-application automation, ease of use, and the smart new bells and whistles that 2000 brings. Using VBA (Visual Basic for Applications), the user can program his or her own programs in what is essentially a subset of the Visual Basic programming languages. This is tremendously powerful, as it allows you to create great User Interfaces (forms etc), as a front end to actual spreadsheet and database storage and manipulation. This continues to be one of the great strengths of programming Excel VBA. What does this book cover? This book presents a full reference to the Excel object model — which is essentially the object-oriented system of organizing the functional capacities that make up the Excel program. There is a short introduction to VBA itself, and the rest of the book documents aspects of programming Excel through that object model. This book is in three broad sections: The first part introduces Excel and VBA. The second offers interesting, thematic discussions of some of the capacities available to Excel VBA. The third and final part offers a full reference to the object model of Excel. Who is this book for? This book is for the Excel developer or user who already has a knowledge of spreadsheets, and the basic objects of an Excel spreadsheet, and now wants a solid and detailed reference to the main object models present in the Excel structure with examples of how to use these models.",0764544012,9780764544019,744.0,BOOK,['Computers'],5.0,1.0,http://books.google.com/books/content?id=nMYzAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=nMYzAAAACAAJ&dq=isbn:9780764544019&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,Who is this book for? This book is for anyone who wants to take full advantage of the VBA programming language that comes with Excel 2000.
1,['Neil Gaiman'],The Sandman Vol. 6: Fables and Reflections 30th Anniversary Edition,,Vertigo,2019-03,"""Foreword by Gene Wolfe, introduced by Clive Barker""--Cover",1401288464,9781401288464,264.0,BOOK,['Death (Fictitious character : Gaiman)'],,,http://books.google.com/books/content?id=O4HyzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=O4HyzQEACAAJ&dq=isbn:9781401288464&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"&quot;Foreword by Gene Wolfe, introduced by Clive Barker&quot;--Cover"
2,['Patrick Rothfuss'],The Wise Man's Fear,,DAW Hardcover,2012-03,"Kvothe continues on his quest to reclaim the honor of his family in the Fae realm and learn the truth about the death of his parents and Amyr, the Chandrian.",0756407125,9780756407124,999.0,BOOK,['Fiction'],4.0,310.0,http://books.google.com/books/content?id=y-4Y_gAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=y-4Y_gAACAAJ&dq=isbn:9780756407124&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"Kvothe continues on his quest to reclaim the honor of his family in the Fae realm and learn the truth about the death of his parents and Amyr, the Chandrian."
3,['N. K. Jemisin'],The City We Became,,Orbit,2020-03-24,"Five New Yorkers must come together in order to defend their city from an ancient evil in the first book of a stunning new novel by Hugo Award-winning and NYT bestselling author N. K. Jemisin. Every great city has a soul. Some are as ancient as myths, and others are as new and destructive as children. New York City? She's got six. But every city also has a dark side. A roiling, ancient evil stirs in the halls of power, threatening to destroy the city and her six newborn avatars unless they can come together and stop it once and for all. For more from N. K. Jemisin, check out: The Inheritance TrilogyThe Hundred Thousand KingdomsThe Broken KingdomsThe Kingdom of Gods The Inheritance Trilogy (omnibus edition)Shades in Shadow: An Inheritance Triptych (e-only short fiction)The Awakened Kingdom (e-only novella) Dreamblood DuologyThe Killing MoonThe Shadowed Sun The Dreamblood Duology (omnibus) The Broken EarthThe Fifth SeasonThe Obelisk GateThe Stone Sky How Long 'til Black Future Month? (short story collection)",0316509841,9780316509848,448.0,BOOK,['Fiction'],4.0,28.0,http://books.google.com/books/content?id=qyPZwAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=qyPZwAEACAAJ&dq=isbn:9780316509848&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,Five New Yorkers must come together in order to defend their city from an ancient evil in the first book of a stunning new novel by Hugo Award-winning and NYT bestselling author N. K. Jemisin.
4,['Brandon Sanderson'],Edgedancer,,Tor Books,2017-10-03,"From #1 New York Times bestselling author Brandon Sanderson, a special gift edition of Edgedancer, a short novel of the Stormlight Archive (previously published in Arcanum Unbounded). Three years ago, Lift asked a goddess to stop her from growing older--a wish she believed was granted. Now, in Edgedancer, the barely teenage nascent Knight Radiant finds that time stands still for no one. Although the young Azish emperor granted her safe haven from an executioner she knows only as Darkness, court life is suffocating the free-spirited Lift, who can't help heading to Yeddaw when she hears the relentless Darkness is there hunting people like her with budding powers. The downtrodden in Yeddaw have no champion, and Lift knows she must seize this awesome responsibility. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer (forthcoming) The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity",1250166543,9781250166548,272.0,BOOK,['Fiction'],4.0,7.0,http://books.google.com/books/content?id=TpXAAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=TpXAAQAACAAJ&dq=isbn:9781250166548&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The ...
5,['Brandon Sanderson'],Mistborn,The Final Empire,Tor Fantasy,2019-09-24,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. For a thousand years the ash fell and no flowers bloomed. For a thousand years the Skaa slaved in misery and lived in fear. For a thousand years the Lord Ruler, the ""Sliver of Infinity,"" reigned with absolute power and ultimate terror, divinely invincible. Then, when hope was so long lost that not even its memory remained, a terribly scarred, heart-broken half-Skaa rediscovered it in the depths of the Lord Ruler's most hellish prison. Kelsier ""snapped"" and found in himself the powers of a Mistborn. A brilliant thief and natural leader, he turned his talents to the ultimate caper, with the Lord Ruler himself as the mark. Kelsier recruited the underworld's elite, the smartest and most trustworthy allomancers, each of whom shares one of his many powers, and all of whom relish a high-stakes challenge. Only then does he reveal his ultimate dream, not just the greatest heist in history, but the downfall of the divine despot. But even with the best criminal crew ever assembled, Kel's plan looks more like the ultimate long shot, until luck brings a ragged girl named Vin into his life. Like him, she's a half-Skaa orphan, but she's lived a much harsher life. Vin has learned to expect betrayal from everyone she meets, and gotten it. She will have to learn to trust, if Kel is to help her master powers of which she never dreamed. This saga dares to ask a simple question: What if the hero of prophecy fails? Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer (forthcoming) The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity",1250318548,9781250318541,672.0,BOOK,['Fiction'],4.0,2177.0,http://books.google.com/books/content?id=iCdvuQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=iCdvuQEACAAJ&dq=isbn:9781250318541&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action."
6,['Brandon Sanderson'],The Well of Ascension,Book Two of Mistborn,Tor Fantasy,2019-10-29,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. The impossible has been accomplished. The Lord Ruler--the man who claimed to be god incarnate and brutally ruled the world for a thousand years--has been vanquished. But Kelsier, the hero who masterminded that triumph, is dead too, and now the awesome task of building a new world has been left to his young protégé, Vin, the former street urchin who is now the most powerful Mistborn in the land, and to the idealistic young nobleman she loves. As Kelsier's protégé and slayer of the Lord Ruler she is now venerated by a budding new religion, a distinction that makes her intensely uncomfortable. Even more worrying, the mists have begun behaving strangely since the Lord Ruler died, and seem to harbor a strange vaporous entity that haunts her. Stopping assassins may keep Vin's Mistborn skills sharp, but it's the least of her problems. Luthadel, the largest city of the former empire, doesn't run itself, and Vin and the other members of Kelsier's crew, who lead the revolution, must learn a whole new set of practical and political skills to help. It certainly won't get easier with three armies – one of them composed of ferocious giants – now vying to conquer the city, and no sign of the Lord Ruler's hidden cache of atium, the rarest and most powerful allomantic metal. As the siege of Luthadel tightens, an ancient legend seems to offer a glimmer of hope. But even if it really exists, no one knows where to find the Well of Ascension or what manner of power it bestows. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity",1250318572,9781250318572,816.0,BOOK,['Fiction'],4.0,88.0,http://books.google.com/books/content?id=B18UugEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=B18UugEACAAJ&dq=isbn:9781250318572&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The ...
7,['Brandon Sanderson'],The Hero of Ages,Book Three of Mistborn,Tor Books,2019-11-26,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. Who is the Hero of Ages? To end the Final Empire and restore freedom, Vin killed the Lord Ruler. But as a result, the Deepness--the lethal form of the ubiquitous mists--is back, along with increasingly heavy ashfalls and ever more powerful earthquakes. Humanity appears to be doomed. Having escaped death at the climax of The Well of Ascension only by becoming a Mistborn himself, Emperor Elend Venture hopes to find clues left behind by the Lord Ruler that will allow him to save the world. Vin is consumed with guilt at having been tricked into releasing the mystic force known as Ruin from the Well. Ruin wants to end the world, and its near omniscience and ability to warp reality make stopping it seem impossible. She can't even discuss it with Elend lest Ruin learn their plans! Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer (forthcoming) The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity",1250318629,9781250318626,784.0,BOOK,['Fiction'],4.0,102.0,http://books.google.com/books/content?id=sNfZwQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=sNfZwQEACAAJ&dq=isbn:9781250318626&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. Who is the Hero of Ages?"
8,['Jon Duckett'],HTML and CSS,Design and Build Websites,Wiley,2014-04-21,"A full-color introduction to the basics of HTML and CSS from the publishers of Wrox! Every day, more and more people want to learn some HTML and CSS. Joining the professional web designers and programmers are new audiences who need to know a little bit of code at work (update a content management system or e-commerce store) and those who want to make their personal blogs more attractive. Many books teaching HTML and CSS are dry and only written for those who want to become programmers, which is why this book takes an entirely new approach. Introduces HTML and CSS in a way that makes them accessible to everyone—hobbyists, students, and professionals—and it’s full-color throughout Utilizes information graphics and lifestyle photography to explain the topics in a simple way that is engaging Boasts a unique structure that allows you to progress through the chapters from beginning to end or just dip into topics of particular interest at your leisure This educational book is one that you will enjoy picking up, reading, then referring back to. It will make you wish other technical topics were presented in such a simple, attractive and engaging way! This book is also available as part of a set in hardcover - Web Design with HTML, CSS, JavaScript and jQuery, 9781119038634; and in softcover - Web Design with HTML, CSS, JavaScript and jQuery, 9781118907443.",1118871642,9781118871645,512.0,BOOK,['Computers'],5.0,3.0,http://books.google.com/books/content?id=WVbajgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=WVbajgEACAAJ&dq=isbn:9781118871645&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"Many books teaching HTML and CSS are dry and only written for those who want to become programmers, which is why this book takes an entirely new approach."
9,['Gilbert Strang'],Introduction to Linear Algebra,,Wellesley-Cambridge Press,2016-08-11,"Linear algebra is something all mathematics undergraduates and many other students, in subjects ranging from engineering to economics, have to learn. The fifth edition of this hugely successful textbook retains all the qualities of earlier editions while at the same time seeing numerous minor improvements and major additions. The latter include: • A new chapter on singular values and singular vectors, including ways to analyze a matrix of data • A revised chapter on computing in linear algebra, with professional-level algorithms and code that can be downloaded for a variety of languages • A new section on linear algebra and cryptography • A new chapter on linear algebra in probability and statistics. A dedicated and active website also offers solutions to exercises as well as new exercises from many different sources (e.g. practice problems, exams, development of textbook examples), plus codes in MATLAB, Julia, and Python.",0980232775,9780980232776,600.0,BOOK,['Mathematics'],4.0,2.0,http://books.google.com/books/content?id=efbxjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,en,http://books.google.ca/books?id=efbxjwEACAAJ&dq=isbn:9780980232776&hl=&cd=1&source=gbs_api,CA,NOT_FOR_SALE,False,"The fifth edition of this hugely successful textbook retains all the qualities of earlier editions, while at the same time seeing numerous minor improvements and major additions."
